,closePrize,close_x,normalDistribution,numberOfDev,percent_change,security_name,date_x,ticker_x,year_x,month,day_x,primary_security_ticker,end_date,fiscal_period,cashdividendspershare,year_y,day_y,ticker_y,date_y,adj_close,close_y,year,day
0,122.25,122.25,0.0,0.0,-0.0056,Apple Inc,2020-12-04,AAPL,2020,12,4,AAPL,2020-12-26,Q1,0.205,2020.0,26.0,,,,,,
1,122.25,122.25,0.0,0.0,-0.0056,Apple Inc,2020-12-04,AAPL,2020,12,4,AAPL,2019-12-28,Q1,0.77,2019.0,28.0,,,,,,
2,122.25,122.25,0.0,0.0,-0.0056,Apple Inc,2020-12-04,AAPL,2020,12,4,AAPL,2018-12-29,Q1,0.73,2018.0,29.0,,,,,,
3,122.25,122.25,0.0,0.0,-0.0056,Apple Inc,2020-12-04,AAPL,2020,12,4,AAPL,2017-12-30,Q1,0.63,2017.0,30.0,,,,,,
4,122.25,122.25,0.0,0.0,-0.0056,Apple Inc,2020-12-04,AAPL,2020,12,4,AAPL,2016-12-31,Q1,0.57,2016.0,31.0,,,,,,
5,72.9095,293.65,0.0,0.0,0.0073,Apple Inc,2019-12-31,AAPL,2019,12,31,AAPL,2020-12-26,Q1,0.205,2020.0,26.0,,,,,,
6,72.9095,293.65,0.0,0.0,0.0073,Apple Inc,2019-12-31,AAPL,2019,12,31,AAPL,2019-12-28,Q1,0.77,2019.0,28.0,,,,,,
7,72.9095,293.65,0.0,0.0,0.0073,Apple Inc,2019-12-31,AAPL,2019,12,31,AAPL,2018-12-29,Q1,0.73,2018.0,29.0,,,,,,
8,72.9095,293.65,0.0,0.0,0.0073,Apple Inc,2019-12-31,AAPL,2019,12,31,AAPL,2017-12-30,Q1,0.63,2017.0,30.0,,,,,,
9,72.9095,293.65,0.0,0.0,0.0073,Apple Inc,2019-12-31,AAPL,2019,12,31,AAPL,2016-12-31,Q1,0.57,2016.0,31.0,,,,,,
10,38.5851,157.74,0.0,0.0,0.0097,Apple Inc,2018-12-31,AAPL,2018,12,31,AAPL,2020-12-26,Q1,0.205,2020.0,26.0,,,,,,
11,38.5851,157.74,0.0,0.0,0.0097,Apple Inc,2018-12-31,AAPL,2018,12,31,AAPL,2019-12-28,Q1,0.77,2019.0,28.0,,,,,,
12,38.5851,157.74,0.0,0.0,0.0097,Apple Inc,2018-12-31,AAPL,2018,12,31,AAPL,2018-12-29,Q1,0.73,2018.0,29.0,,,,,,
13,38.5851,157.74,0.0,0.0,0.0097,Apple Inc,2018-12-31,AAPL,2018,12,31,AAPL,2017-12-30,Q1,0.63,2017.0,30.0,,,,,,
14,38.5851,157.74,0.0,0.0,0.0097,Apple Inc,2018-12-31,AAPL,2018,12,31,AAPL,2016-12-31,Q1,0.57,2016.0,31.0,,,,,,
15,40.7834,169.23,0.0,0.0,-0.0108,Apple Inc,2017-12-29,AAPL,2017,12,29,AAPL,2020-12-26,Q1,0.205,2020.0,26.0,,,,,,
16,40.7834,169.23,0.0,0.0,-0.0108,Apple Inc,2017-12-29,AAPL,2017,12,29,AAPL,2019-12-28,Q1,0.77,2019.0,28.0,,,,,,
17,40.7834,169.23,0.0,0.0,-0.0108,Apple Inc,2017-12-29,AAPL,2017,12,29,AAPL,2018-12-29,Q1,0.73,2018.0,29.0,,,,,,
18,40.7834,169.23,0.0,0.0,-0.0108,Apple Inc,2017-12-29,AAPL,2017,12,29,AAPL,2017-12-30,Q1,0.63,2017.0,30.0,,,,,,
19,40.7834,169.23,0.0,0.0,-0.0108,Apple Inc,2017-12-29,AAPL,2017,12,29,AAPL,2016-12-31,Q1,0.57,2016.0,31.0,,,,,,
20,27.4701,115.82,0.0,0.0,-0.0078,Apple Inc,2016-12-30,AAPL,2016,12,30,AAPL,2020-12-26,Q1,0.205,2020.0,26.0,,,,,,
21,27.4701,115.82,0.0,0.0,-0.0078,Apple Inc,2016-12-30,AAPL,2016,12,30,AAPL,2019-12-28,Q1,0.77,2019.0,28.0,,,,,,
22,27.4701,115.82,0.0,0.0,-0.0078,Apple Inc,2016-12-30,AAPL,2016,12,30,AAPL,2018-12-29,Q1,0.73,2018.0,29.0,,,,,,
23,27.4701,115.82,0.0,0.0,-0.0078,Apple Inc,2016-12-30,AAPL,2016,12,30,AAPL,2017-12-30,Q1,0.63,2017.0,30.0,,,,,,
24,27.4701,115.82,0.0,0.0,-0.0078,Apple Inc,2016-12-30,AAPL,2016,12,30,AAPL,2016-12-31,Q1,0.57,2016.0,31.0,,,,,,
25,24.4222,105.26,0.0,0.0,-0.0192,Apple Inc,2015-12-31,AAPL,2015,12,31,AAPL,2020-12-26,Q1,0.205,2020.0,26.0,,,,,,
26,24.4222,105.26,0.0,0.0,-0.0192,Apple Inc,2015-12-31,AAPL,2015,12,31,AAPL,2019-12-28,Q1,0.77,2019.0,28.0,,,,,,
27,24.4222,105.26,0.0,0.0,-0.0192,Apple Inc,2015-12-31,AAPL,2015,12,31,AAPL,2018-12-29,Q1,0.73,2018.0,29.0,,,,,,
28,24.4222,105.26,0.0,0.0,-0.0192,Apple Inc,2015-12-31,AAPL,2015,12,31,AAPL,2017-12-30,Q1,0.63,2017.0,30.0,,,,,,
29,24.4222,105.26,0.0,0.0,-0.0192,Apple Inc,2015-12-31,AAPL,2015,12,31,AAPL,2016-12-31,Q1,0.57,2016.0,31.0,,,,,,
30,119.05,119.05,0.0,0.0,0.0211,Apple Inc,2020-11-30,AAPL,2020,11,30,,,,,,,,,,,,
31,66.3547,267.25,0.0,0.0,-0.0022,Apple Inc,2019-11-29,AAPL,2019,11,29,,,,,,,,,,,,
32,43.6828,178.58,0.0,0.0,-0.0054,Apple Inc,2018-11-30,AAPL,2018,11,30,,,,,,,,,,,,
33,41.4148,171.85,0.0,0.0,0.014,Apple Inc,2017-11-30,AAPL,2017,11,30,,,,,,,,,,,,
34,26.2131,110.52,0.0,0.0,-0.0084,Apple Inc,2016-11-30,AAPL,2016,11,30,,,,,,,,,,,,
35,27.4477,118.3,0.0,0.0,0.0042,Apple Inc,2015-11-30,AAPL,2015,11,30,,,,,,,,,,,,
36,108.86,108.86,0.0,0.0,-0.056,Apple Inc,2020-10-30,AAPL,2020,10,30,,,,,,,,,,,,
37,61.579,248.76,0.0,0.0,0.0226,Apple Inc,2019-10-31,AAPL,2019,10,31,,,,,,,,,,,,
38,53.3496,218.86,0.0,0.0,0.0261,Apple Inc,2018-10-31,AAPL,2018,10,31,,,,,,,,,,,,
39,40.5917,169.04,0.0,0.0,0.0139,Apple Inc,2017-10-31,AAPL,2017,10,31,,,,,,,,,,,,
40,26.7918,113.54,0.0,0.0,-0.0016,Apple Inc,2016-10-31,AAPL,2016,10,31,,,,,,,,,,,,
41,115.81,115.81,0.0,0.0,0.0151,Apple Inc,2020-09-30,AAPL,2020,9,30,,,,,,,,,,,,
42,55.4424,223.97,0.0,0.0,0.0235,Apple Inc,2019-09-30,AAPL,2019,9,30,,,,,,,,,,,,
43,55.0267,225.74,0.0,0.0,0.0035,Apple Inc,2018-09-28,AAPL,2018,9,28,,,,,,,,,,,,
